===========================================================
Nazwa pliku wejsciowego: ../TxtFiles/file_10.txt
LP;czas;blad bezwzgledny;blad wzgledny
3;266.439ms;0.00461964;1.23085ms
4;260.658ms;0.0174576;4.55045ms
5;258.093ms;0.0275666;7.11475ms
6;266.294ms;0.00407615;1.08545ms
7;255.529ms;0.0378776;9.67885ms
8;261.592ms;0.0138252;3.61655ms
9;259.325ms;0.0226884;5.88365ms
10;267.732ms;0.00942531;2.52345ms
11;264.637ms;0.00215672;0.570748ms
12;258.98ms;0.0240476;6.22785ms
13;259.837ms;0.0206696;5.37075ms
14;256.157ms;0.0353336;9.05095ms
15;260.021ms;0.0199494;5.18725ms
16;259.846ms;0.0206374;5.36255ms
17;262.8ms;0.00916458;2.40845ms
18;286.674ms;0.0748783;21.4657ms
19;281.727ms;0.0586332;16.5186ms
20;280.62ms;0.0549204;15.4118ms
21;269.992ms;0.0177196;4.78415ms
22;277.271ms;0.043507;12.0633ms
23;277.719ms;0.0450493;12.5111ms
24;259.074ms;0.0236764;6.13395ms
